Country Name,GDP per capita,GDP,Central Government Debt,Renewable Energy Consumption,Foreign Direct Investment,Net Imports,Net Exports,Inflation,CO2 emissions / population,HDI
Australia,46790,1.20E+12,5.66E+11,9.5,36595012584,2.54E+11,2.27E+11,-0.41,14.64,0.939
Austria,50078,3.86E+11,3.69E+11,35.78,5182161264,1.87E+11,2.02E+11,1.28,1.5,0.893
Belgium,46383,4.66E+11,5.11E+11,9.04,-20797132929,3.83E+11,3.94E+11,1.56,0.82,0.896
Brunei Darussalam,77441,11400266877,353408273.2,0.01,173243339.6,4261899816,5249031813,-9.18,2.15,0.865
Canada,44025,1.53E+12,8.37E+11,22.58,54702381232,5.10E+11,4.74E+11,0.61,15.28,0.92
Denmark,49496,3.06E+11,1.30E+11,30.22,1888667820,1.42E+11,1.63E+11,0.37,0.58,0.925
Finland,43053,2.37E+11,1.41E+11,41.19,16938463412,86569644896,83710242733,0.77,0.86,0.895
France,41466,2.47E+12,2.42E+12,13.13,34968752554,7.68E+11,7.26E+11,0.39,4.53,0.897
Germany,48730,3.47E+12,1.75E+12,13.38,52576912741,1.33E+12,1.59E+12,1.44,8.76,0.926
"Hong Kong SAR, China",58553,3.21E+11,1.07E+11,1.79,1.81E+11,5.94E+11,6.01E+11,1.78,0.63,0.917
Iceland,51399,20047413006,17463301470,76.42,1145752087,8529267413,9844009278,2.04,0.59,0.921
Ireland,68883,2.94E+11,2.70E+11,8.47,2.03E+11,2.84E+11,3.53E+11,-1.23,0.71,0.923
Italy,38161,1.85E+12,2.78E+12,17.09,13005637733,4.91E+11,5.55E+11,0.75,5.29,0.887
Japan,41470,4.94E+12,9.78E+12,5.53,5585489706,5.89E+11,6.70E+11,0.28,9.58,0.903
Luxembourg,105882,59947781147,18230120247,6.97,24595772903,1.15E+11,1.37E+11,-0.61,1.66,0.898
"Macao SAR, China",104169,44802641830,224013209.2,10.73,337910872.7,15524453102,33933435870,0.93,0.21,0.905
Netherlands,50898,7.71E+11,5.44E+11,5.67,1.30E+11,5.39E+11,6.23E+11,0.85,0.98,0.924
New Zealand,39059,1.85E+11,1.05E+11,30.86,-135170838.7,35700000000,35800000000,1.56,0.74,0.915
Norway,59302,3.71E+11,84884800000,57.09,5669105409,1.21E+11,1.25E+11,-1.22,0.91,0.949
Qatar,127523,1.52E+11,72352000000,0,1070879121,63475274725,72397252747,-9.41,4.2,0.856
Saudi Arabia,54431,6.46E+11,84626000000,0.01,8141026667,1.95E+11,1.98E+11,-2.89,1.86,0.847
Singapore,87856,2.97E+11,3.18E+11,0.62,70579746513,4.34E+11,5.11E+11,-1.43,1.01,0.925
Sweden,49175,5.11E+11,2.37E+11,49.54,7994305865,2.03E+11,2.27E+11,1.42,0.44,0.913
Switzerland,62882,6.60E+11,1.50E+11,23.45,97577566732,2.61E+11,2.79E+11,-0.58,0.42,0.939
United Arab Emirates,72419,3.49E+11,66659000000,0.17,8795098707,3.54E+11,3.62E+11,-5.44,2.28,0.84
United Kingdom,42609,2.62E+12,2.82E+12,7.29,58450557091,7.85E+11,7.36E+11,1.74,6.4,0.909
United States,57467,1.86E+13,1.82E+13,8.91,3.79E+11,2.16E+12,1.38E+12,1.32,16.25,0.92
