Country Name,GDP (PPP) per capita ($),GDP ($),Central Government Debt (% of GDP),Renewable Energy Consumption (% of total),Foreign Direct Investment ($),Net Trade (Exports - Imports) in ($),inflation,CO2 emissions (kt) / population
Australia,46790.00,1204616439828.41,47.17,9.50,36595012584.00,-2669372798305.33,-0.41,14.64
Austria,50078.00,386427793787.22,95.71,35.78,5182161264.00,1471822232192.14,1.28,1.50
Belgium,46383.00,466365727353.85,109.55,9.04,-20797132929.00,1117987530298.16,1.56,0.82
Brunei Darussalam,77441.00,11400266877.38,,0.01,173243339.60,98713199745.14,-9.18,2.15
Canada,44025.00,1529760492201.35,54.71,22.58,54702381232.00,-3619059390544.54,0.61,15.28
Denmark,49496.00,306142937248.09,42.55,30.22,1888667820.00,2105019767389.44,0.37,0.58
Finland,43053.00,236785046710.88,59.42,41.19,16938463412.00,-285940216268.01,0.77,0.86
France,41466.00,2465453975282.24,98.04,13.13,34968752554.00,-4241096259934.86,0.39,4.53
Germany,48730.00,3466756880460.62,50.47,13.38,52576912741.00,26409593235752.00,1.44,8.76
"Hong Kong SAR, China",58553.00,320912235498.73,,1.79,181047000000.00,683358562272.54,1.78,0.63
Iceland,51399.00,20047413006.35,87.11,76.42,1145752087.00,131474186486.07,2.04,0.59
Ireland,68883.00,294053595685.72,91.77,8.47,203463000000.00,6820310195223.48,-1.23,0.71
Italy,38161.00,1849970464191.78,150.39,17.09,13005637733.00,6402671213809.12,0.75,5.29
Japan,41470.00,4939383909875.27,197.95,5.53,5585489706.00,0.00,0.28,9.58
Luxembourg,105882.00,59947781147.48,30.41,6.97,24595772903.00,2182127595497.95,-0.61,1.66
"Macao SAR, China",104169.00,44802641829.93,,10.73,337910872.70,1840898276708.66,0.93,0.21
Netherlands,50898.00,770845046231.73,70.57,5.67,129750000000.00,8394917150184.83,0.85,0.98
New Zealand,39059.00,185017316092.65,56.73,30.86,-135170838.70,0.00,1.56,0.74
Norway,59302.00,370556666666.67,22.88,57.09,5669105409.00,459333333333.33,-1.22,0.91
Qatar,127523.00,152468681318.68,,0.00,1070879121.00,892197802197.80,-9.41,4.20
Saudi Arabia,54431.00,646438380568.72,,0.01,8141026667.00,318240000000.00,-2.89,1.86
Singapore,87856.00,296965712342.02,107.21,0.62,70579746513.00,7684765621860.74,-1.43,1.01
Sweden,49175.00,510999796581.60,46.43,49.54,7994305865.00,2363760768279.19,1.42,0.44
Switzerland,62882.00,659827235193.83,22.67,23.45,97577566732.00,0.00,-0.58,0.42
United Arab Emirates,72419.00,348743265715.40,,0.17,8795098707.00,830496936691.63,-5.44,2.28
United Kingdom,42609.00,2618885692029.18,107.63,7.29,58450557091.00,-4971818326707.03,1.74,6.40
United States,57467.00,18569100000000.00,97.84,8.91,379434000000.00,0.00,1.32,16.25
