Country Name,GDP PPP per capita,GDP,GDP per capita,total debt,renewable energy conump,labor female,foreign direct in,trade,inflation,access to electricity,water
Australia,46790,1204616439828.41,49927.81951,47.16824076,9.497567815,45.73702861,36595012584,-2669372798305.33,-0.413723214,100,100
Austria,50078,386427793787.22,44176.51522,95.7062989,35.78392667,46.71900486,5182161264,1471822232192.14,1.280064914,100,100
Belgium,46383,466365727353.85,41096.1573,109.5542466,9.038057111,46.08847078,-20797132929,1117987530298.16,1.55846751,100,100
Brunei Darussalam,77441,11400266877.38,26938.50338,,0.013976192,38.82895339,173243339.6,98713199745.14,-9.18100954,100,100
Canada,44025,1529760492201.35,42157.92799,54.71119876,22.57580705,47.1749952,54702381232,-3619059390544.54,0.605291332,100,99.8
Denmark,49496,306142937248.09,53417.66428,42.55457482,30.21992724,47.34835462,1888667820,2105019767389.44,0.369940554,100,100
Finland,43053,236785046710.88,43090.24751,59.41645069,41.19126143,48.0739406,16938463412,-285940216268.01,0.774161122,100,100
France,41466,2465453975282.24,36854.96828,98.04242283,13.13263803,47.1833516,34968752554,-4241096259934.86,0.385265655,100,100
Germany,48730,3466756880460.62,41936.05858,50.46999162,13.37887765,46.23679217,52576912741,26409593235752.00,1.444250966,100,100
"Hong Kong SAR, China",58553,320912235498.73,43681.14058,,1.792585103,48.20162307,1.81047E+11,683358562272.54,1.777364658,100,100
Iceland,51399,20047413006.35,59976.94257,87.10562928,76.42294532,47.72621245,1145752087,131474186486.07,2.041960512,100,100
Ireland,68883,294053595685.72,61606.48294,91.77254132,8.471724021,44.43012397,2.03463E+11,6820310195223.48,-1.232700288,100,97.9
Italy,38161,1849970464191.78,30527.2682,150.3878502,17.090359,42.06419587,13005637733,6402671213809.12,0.754301297,100,100
Japan,41470,4939383909875.27,38894.46773,197.9528606,5.52698149,42.71594263,5585489706,0.00,0.284989472,100,100
Luxembourg,105882,59947781147.48,102831.3215,30.40706154,6.966288592,44.17838741,24595772903,2182127595497.95,-0.610470983,100,100
"Macao SAR, China",104169,44802641829.93,73186.96014,,10.72669122,48.81942355,337910872.7,1840898276708.66,0.932398962,100,100
Netherlands,50898,770845046231.73,45294.78,70.57400178,5.668454079,45.66153415,1.2975E+11,8394917150184.83,0.846573398,100,100
New Zealand,39059,185017316092.65,39426.6235,56.73015432,30.86475021,47.4356568,-135170838.7,0.00,1.563823579,100,100
Norway,59302,370556666666.67,70812.47742,22.88142199,57.0886188,46.9683436,5669105409,459333333333.33,-1.217448676,100,100
Qatar,127523,152468681318.68,59330.85999,,0,13.24884898,1070879121,892197802197.80,-9.413759276,100,100
Saudi Arabia,54431,646438380568.72,20028.64821,,0.006008743,15.0970337,8141026667,318240000000.00,-2.888217313,100,97
Singapore,87856,296965712342.02,52960.71419,107.20648,0.621625223,44.13269931,70579746513,7684765621860.74,-1.434629108,100,100
Sweden,49175,510999796581.60,51599.86887,46.42884904,49.53745892,47.42097055,7994305865,2363760768279.19,1.418847756,100,100
Switzerland,62882,659827235193.83,78812.65069,22.67275728,23.45222945,46.3866996,97577566732,0.00,-0.578086252,100,100
United Arab Emirates,72419,348743265715.40,37622.20746,,0.16780695,12.48363806,8795098707,830496936691.63,-5.443039011,100,99.6
United Kingdom,42609,2618885692029.18,39899.38839,107.6283405,7.294445315,46.43264081,58450557091,-4971818326707.03,1.736208937,100,100
United States,57467,18569100000000.00,57466.78711,97.8391384,8.913332385,45.88231449,3.79434E+11,0.00,1.315151889,100,99.2
